year,title,img,rating_count,gross,genre,rating,runtime,stars,metacritic,description
2004,Catwoman,2004_catwoman.jpg,106125,40200000,"Action, Crime, Fantasy",PG-13,104,3.3,NA,"A shy woman, endowed with the speed, reflexes, and senses of a cat, walks a thin line between criminal and hero, even as a detective doggedly pursues her, fascinated by both of her personas."
2004,You Got Served,2004_you_got_served.jpg,25426,40070000,"Drama, Music",PG-13,95,3.8,NA,"In order to achieve their dream of opening a recording studio, two friends (Omarion, Houston) must first win their city's dance contest -- a fierce competition that pits them against a group of tough street dancers."
2004,The Ladykillers,2004_the_ladykillers.jpg,95950,39800000,"Comedy, Crime, Thriller",R,104,6.2,56,"An eccentric, if not charming Southern professor and his crew pose as a classical ensemble in order to rob a casino, all under the nose of his unsuspecting but sharp old landlady."
2004,Sky Captain and the World of Tomorrow,2004_sky_captain_and_the_world_of_tomorrow.jpg,80015,37760000,"Action, Adventure, Mystery",PG,106,6,NA,"After New York City receives a series of attacks from giant flying robots, a reporter teams up with a pilot in search of their origin, as well as the reason for the disappearances of famous scientists around the world."
2004,Raising Helen,2004_raising_helen.jpg,34582,37490000,"Comedy, Drama, Romance",PG-13,119,6,NA,"After her sister and brother-in-law die in a car accident, a young woman becomes the guardian of their three children."
2004,Taxi,2004_taxi.jpg,38787,36610000,"Action, Comedy, Crime",PG-13,97,4.5,NA,A mouthy and feisty taxicab driver has hot tips for a green and inept cop set on solving a string of New York City bank robberies committed by a quartet of female Brazilian bank robbers.
2004,Eternal Sunshine of the Spotless Mind,2004_eternal_sunshine_of_the_spotless_mind.jpg,858159,34400000,"Drama, Romance, Sci-Fi",R,108,8.3,NA,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories."
2004,Alexander,2004_alexander.jpg,157833,34300000,"Action, Biography, Drama",R,175,5.6,NA,"Alexander, the King of Macedonia and one of the greatest army leaders in the history of warfare, conquers much of the known world."
2004,Closer,2004_closer.jpg,195433,33990000,"Drama, Romance",R,104,7.2,NA,The relationships of two couples become complicated and deceitful when the man from one couple meets the woman of the other.
2004,The Punisher,2004_the_punisher.jpg,145469,33680000,"Action, Crime, Drama",R,124,6.4,NA,An undercover FBI agent becomes a vigilante assassin and sets out to unleash his wrath upon the corrupt businessman who slaughtered his entire family at a reunion.
2004,Team America: World Police,2004_team_america_world_police.jpg,154563,32770000.000000004,"Action, Comedy",R,98,7.2,NA,"Popular Broadway actor Gary Johnston is recruited by the elite counter-terrorism organization Team America: World Police. As the world begins to crumble around him, he must battle with terrorists, celebrities and falling in love."
2004,Taking Lives,2004_taking_lives.jpg,77236,32680000,"Crime, Mystery, Thriller",R,103,6.2,NA,An FBI profiler is called in by French Canadian police to catch a serial killer who takes on the identity of each new victim.
2004,Anacondas: The Hunt for the Blood Orchid,2004_anacondas_the_hunt_for_the_blood_orchid.jpg,27447,32240000.000000004,"Action, Adventure, Horror",PG-13,97,4.6,40,"A scientific expedition sets out for Borneo to seek a flower called the Blood Orchid, which could grant longer life. Meanwhile, they run afoul of snakes and each other."
2004,Cellular,2004_cellular.jpg,89815,32000000,"Action, Crime, Thriller",PG-13,94,6.5,60,A young man receives an emergency phone call on his cell phone from an older woman. The catch? The woman claims to have been kidnapped; and the kidnappers have targeted her husband and child next.
2004,Johnson Family Vacation,2004_johnson_family_vacation.jpg,7007,31180000,Comedy,PG-13,97,4.5,NA,Buckle up for the wildest road trip of the year. A comedy adventure about a misfit family trying to survive outrageous obstacles (includeing each other) on a cross-country trek to their annual family reunion.
2004,Confessions of a Teenage Drama Queen,2004_confessions_of_a_teenage_drama_queen.jpg,26479,29330000,"Comedy, Family, Music",PG,89,4.6,NA,"A teenage girl is convinced that her home city revolves around her until her family packs up and moves to the suburbs, where she finds herself competing for attention."
2004,After the Sunset,2004_after_the_sunset.jpg,43291,28330000,"Action, Comedy, Crime",PG-13,97,6.3,NA,"The story of what happens after a master thief achieves his last big score, when the F.B.I. Agent who promised he'd capture him, is about to do just that."
2004,The Prince and Me,2004_the_prince_and_me.jpg,36345,28180000,"Comedy, Family, Romance",PG,111,5.9,47,"At college Paige meets Eddie, a fellow student from Denmark, whom she first dislikes but later accepts, likes, and loves; he proves to be Crown Prince Edvard. Paige follows him to Copenhagen, and he follows her back to school with a plan."
2004,Garden State,2004_garden_state.jpg,203335,26780000,"Comedy, Drama, Romance",R,102,7.4,NA,A quietly troubled young man returns home for his mother's funeral after being estranged from his family for a decade.
2004,Jersey Girl,2004_jersey_girl.jpg,61555,25270000,"Comedy, Drama, Romance",PG-13,102,6.2,43,"After his career is sidelined by an unexpected tragedy and a personal blow-up, a single man must take care of his precocious daughter."
2004,Twisted,2004_twisted.jpg,19626,25200000,"Crime, Drama, Mystery",R,97,5.3,NA,"Jessica, whose father killed her mother and committed suicide, is a police officer. While investigating a murder, she finds herself in the center of her own investigation, when her former lovers start being murdered."
2004,Around the World in 80 Days,2004_around_the_world_in__days.jpg,81115,24010000,"Action, Adventure, Comedy",PG,120,5.9,49,"To win a bet, an eccentric British inventor, beside his Chinese valet and an aspiring French artist, embarks on a trip full of adventures and dangers around the world in exactly eighty days."
2004,The Life Aquatic with Steve Zissou,2004_the_life_aquatic_with_steve_zissou.jpg,171364,24010000,"Action, Adventure, Comedy",R,119,7.3,NA,"With a plan to exact revenge on a mythical shark that killed his partner, Oceanographer Steve Zissou (Bill Murray) rallies a crew that includes his estranged wife, a journalist, and a man who may or may not be his son."
2004,Agent Cody Banks 2: Destination London,2004_agent_cody_banks__destination_london.jpg,13462,23220000,"Action, Adventure, Comedy",PG,100,4.5,NA,"With all-new gadgets, high-flying action, exciting chases and a wisecracking new handler, Derek (Anthony Anderson), Cody has to retrieve the device before the world's leaders fall under the evil control of a diabolical villain."
2004,Ella Enchanted,2004_ella_enchanted.jpg,59071,22920000,"Comedy, Family, Fantasy",PG,96,6.3,53,"Ella is under a spell to be constantly obedient, a fact she must hide from her new step-family in order to protect the prince of the land, her friend for whom she's falling."
